id_rider,name,level,hp,mastery point,upgrade_rate,upgrade_resource_type_1,upgrade_resource_id_1,amount_1,upgrade_resource_type_2,upgrade_resource_id_2,amount_2,upgrade_resource_type_3,upgrade_resource_id_3,amount_3
1002,Nigou,0,7,0,1,2,1002,0,0,1,0,3,1002,0
1002,Nigou,1,7,3,1,2,1002,10000,0,1,1000,3,1002,0
1002,Nigou,2,8,4,1,2,1002,20000,0,1,2000,3,1002,0
1002,Nigou,3,9,5,0.9,2,1002,30000,0,1,3000,3,1002,100
1002,Nigou,4,10,6,0.86,2,1002,50000,0,1,5000,3,1002,0
1002,Nigou,5,11,7,0.82,2,1002,70000,0,1,10000,3,1002,0
1002,Nigou,6,12,8,0.76,2,1002,90000,0,1,15000,3,1002,500
1002,Nigou,7,13,9,0.7,2,1002,120000,0,1,22000,3,1002,0
1002,Nigou,8,14,10,0.6,2,1002,150000,0,1,30000,3,1002,0
1002,Nigou,9,15,11,0.5,2,1002,200000,0,1,40000,3,1002,1000
1002,Nigou,10,16,12,0.4,2,1002,300000,0,1,55000,3,1002,0
1002,Nigou,11,17,13,0.3,2,1002,500000,0,1,70000,3,1002,0
1002,Nigou,12,18,14,0.15,2,1002,1000000,0,1,100000,3,1002,2500
