id_rider,name,level,hp,mastery point,upgrade_rate,upgrade_resource_type_1,upgrade_resource_id_1,amount_1,upgrade_resource_type_2,upgrade_resource_id_2,amount_2,upgrade_resource_type_3,upgrade_resource_id_3,amount_3
1002,Nigou,0,7,0,1,2,1002,0,0,1,0,3,1002,0
1002,Nigou,1,7,3,1,2,1002,250,0,1,200,3,1002,0
1002,Nigou,2,8,4,1,2,1002,500,0,1,1200,3,1002,0
1002,Nigou,3,9,5,0.95,2,1002,1250,0,1,2000,3,1002,100
1002,Nigou,4,10,6,0.89,2,1002,2750,0,1,3000,3,1002,0
1002,Nigou,5,11,7,0.82,2,1002,4500,0,1,5000,3,1002,0
1002,Nigou,6,12,8,0.75,2,1002,7500,0,1,7200,3,1002,500
1002,Nigou,7,13,9,0.68,2,1002,11000,0,1,9600,3,1002,0
1002,Nigou,8,14,10,0.6,2,1002,15000,0,1,18000,3,1002,0
1002,Nigou,9,15,11,0.41,2,1002,20000,0,1,32000,3,1002,1000
1002,Nigou,10,16,12,0.32,2,1002,25000,0,1,46000,3,1002,0
1002,Nigou,11,17,13,0.22,2,1002,32500,0,1,60000,3,1002,0
1002,Nigou,12,18,14,0.1,2,1002,40000,0,1,90000,3,1002,2500
