id_rider,name,level,hp,mastery point,upgrade_resource_type_1,upgrade_resource_id_1,amount_1,upgrade_resource_type_2,upgrade_resource_id_2,amount_2,upgrade_resource_type_3,upgrade_resource_id_3,amount_3
1003,Skulz,1,8,2,2,1003,10000,0,1,2000,3,1003,0
1003,Skulz,2,9,3,2,1003,20000,0,1,4000,3,1003,0
1003,Skulz,3,10,4,2,1003,30000,0,1,6000,3,1003,100
1003,Skulz,4,11,5,2,1003,50000,0,1,10000,3,1003,0
1003,Skulz,5,12,6,2,1003,70000,0,1,15000,3,1003,0
1003,Skulz,6,13,7,2,1003,90000,0,1,20000,3,1003,500
1003,Skulz,7,14,8,2,1003,120000,0,1,25000,3,1003,0
1003,Skulz,8,15,9,2,1003,150000,0,1,30000,3,1003,0
1003,Skulz,9,16,10,2,1003,200000,0,1,40000,3,1003,1000
1003,Skulz,10,17,11,2,1003,300000,0,1,55000,3,1003,0
1003,Skulz,11,18,12,2,1003,500000,0,1,70000,3,1003,0
1003,Skulz,12,19,13,2,1003,1000000,0,1,100000,3,1003,2500
