id_rider,name,level,hp,mastery point,upgrade_rate,upgrade_resource_type_1,upgrade_resource_id_1,amount_1,upgrade_resource_type_2,upgrade_resource_id_2,amount_2,upgrade_resource_type_3,upgrade_resource_id_3,amount_3
1001,Itsui,0,5,0,1,2,1001,0,0,1,0,3,1001,0
1001,Itsui,1,5,5,1,2,1001,250,0,1,200,3,1001,0
1001,Itsui,2,6,6,1,2,1001,500,0,1,1200,3,1001,0
1001,Itsui,3,7,7,0.95,2,1001,1250,0,1,2000,3,1001,100
1001,Itsui,4,8,8,0.89,2,1001,2750,0,1,3000,3,1001,0
1001,Itsui,5,9,9,0.82,2,1001,4500,0,1,5000,3,1001,0
1001,Itsui,6,10,10,0.75,2,1001,7500,0,1,7200,3,1001,500
1001,Itsui,7,11,11,0.68,2,1001,11000,0,1,9600,3,1001,0
1001,Itsui,8,12,12,0.6,2,1001,15000,0,1,18000,3,1001,0
1001,Itsui,9,13,13,0.41,2,1001,20000,0,1,32000,3,1001,1000
1001,Itsui,10,14,14,0.32,2,1001,25000,0,1,46000,3,1001,0
1001,Itsui,11,15,15,0.22,2,1001,32500,0,1,60000,3,1001,0
1001,Itsui,12,16,16,0.1,2,1001,40000,0,1,90000,3,1001,2500
