id_rider,name,level,hp,mastery point,upgrade_rate,upgrade_resource_type_1,upgrade_resource_id_1,amount_1,upgrade_resource_type_2,upgrade_resource_id_2,amount_2,upgrade_resource_type_3,upgrade_resource_id_3,amount_3
1005,Bildes,0,8,0,1,2,1005,0,0,1,0,3,1005,0
1005,Bildes,1,8,2,1,2,1005,250,0,1,200,3,1005,0
1005,Bildes,2,9,3,1,2,1005,500,0,1,1200,3,1005,0
1005,Bildes,3,10,4,0.95,2,1005,1250,0,1,2000,3,1005,100
1005,Bildes,4,11,5,0.89,2,1005,2750,0,1,3000,3,1005,0
1005,Bildes,5,12,6,0.82,2,1005,4500,0,1,5000,3,1005,0
1005,Bildes,6,13,7,0.75,2,1005,7500,0,1,7200,3,1005,500
1005,Bildes,7,14,8,0.68,2,1005,11000,0,1,9600,3,1005,0
1005,Bildes,8,15,9,0.6,2,1005,15000,0,1,18000,3,1005,0
1005,Bildes,9,16,10,0.41,2,1005,20000,0,1,32000,3,1005,1000
1005,Bildes,10,17,11,0.32,2,1005,25000,0,1,46000,3,1005,0
1005,Bildes,11,18,12,0.22,2,1005,32500,0,1,60000,3,1005,0
1005,Bildes,12,19,13,0.1,2,1005,40000,0,1,90000,3,1005,2500
