id_rider,name,level,hp,mastery point,upgrade_resource_type_1,upgrade_resource_id_1,amount_1,upgrade_resource_type_2,upgrade_resource_id_2,amount_2,upgrade_resource_type_3,upgrade_resource_id_3,amount_3
1001,Itsui,1,5,5,2,1001,10000,0,1,2000,3,1001,0
1001,Itsui,2,6,6,2,1001,20000,0,1,4000,3,1001,0
1001,Itsui,3,7,7,2,1001,30000,0,1,6000,3,1001,100
1001,Itsui,4,8,8,2,1001,50000,0,1,10000,3,1001,0
1001,Itsui,5,9,9,2,1001,70000,0,1,15000,3,1001,0
1001,Itsui,6,10,10,2,1001,90000,0,1,20000,3,1001,500
1001,Itsui,7,11,11,2,1001,120000,0,1,25000,3,1001,0
1001,Itsui,8,12,12,2,1001,150000,0,1,30000,3,1001,0
1001,Itsui,9,13,13,2,1001,200000,0,1,40000,3,1001,1000
1001,Itsui,10,14,14,2,1001,300000,0,1,55000,3,1001,0
1001,Itsui,11,15,15,2,1001,500000,0,1,70000,3,1001,0
1001,Itsui,12,16,16,2,1001,1000000,0,1,100000,3,1001,2500
