id_rider,name,level,hp,mastery point,upgrade_rate,upgrade_resource_type_1,upgrade_resource_id_1,amount_1,upgrade_resource_type_2,upgrade_resource_id_2,amount_2,upgrade_resource_type_3,upgrade_resource_id_3,amount_3
1003,Skulz,0,8,0,1,2,1003,0,0,1,0,3,1003,0
1003,Skulz,1,8,2,1,2,1003,250,0,1,200,3,1003,0
1003,Skulz,2,9,3,1,2,1003,500,0,1,1200,3,1003,0
1003,Skulz,3,10,4,0.95,2,1003,1250,0,1,2000,3,1003,100
1003,Skulz,4,11,5,0.89,2,1003,2750,0,1,3000,3,1003,0
1003,Skulz,5,12,6,0.82,2,1003,4500,0,1,5000,3,1003,0
1003,Skulz,6,13,7,0.75,2,1003,7500,0,1,7200,3,1003,500
1003,Skulz,7,14,8,0.68,2,1003,11000,0,1,9600,3,1003,0
1003,Skulz,8,15,9,0.6,2,1003,15000,0,1,18000,3,1003,0
1003,Skulz,9,16,10,0.41,2,1003,20000,0,1,32000,3,1003,1000
1003,Skulz,10,17,11,0.32,2,1003,25000,0,1,46000,3,1003,0
1003,Skulz,11,18,12,0.22,2,1003,32500,0,1,60000,3,1003,0
1003,Skulz,12,19,13,0.1,2,1003,40000,0,1,90000,3,1003,2500
