id_rider,name,level,hp,mastery point,upgrade_rate,upgrade_resource_type_1,upgrade_resource_id_1,amount_1,upgrade_resource_type_2,upgrade_resource_id_2,amount_2,upgrade_resource_type_3,upgrade_resource_id_3,amount_3
1004,Akale,0,8,0,1,2,1004,0,0,1,0,3,1004,0
1004,Akale,1,8,2,1,2,1004,10000,0,1,1000,3,1004,0
1004,Akale,2,9,3,1,2,1004,20000,0,1,2000,3,1004,0
1004,Akale,3,10,4,0.9,2,1004,30000,0,1,3000,3,1004,100
1004,Akale,4,11,5,0.86,2,1004,50000,0,1,5000,3,1004,0
1004,Akale,5,12,6,0.82,2,1004,70000,0,1,10000,3,1004,0
1004,Akale,6,13,7,0.76,2,1004,90000,0,1,15000,3,1004,500
1004,Akale,7,14,8,0.7,2,1004,120000,0,1,22000,3,1004,0
1004,Akale,8,15,9,0.6,2,1004,150000,0,1,30000,3,1004,0
1004,Akale,9,16,10,0.5,2,1004,200000,0,1,40000,3,1004,1000
1004,Akale,10,17,11,0.4,2,1004,300000,0,1,55000,3,1004,0
1004,Akale,11,18,12,0.3,2,1004,500000,0,1,70000,3,1004,0
1004,Akale,12,19,13,0.15,2,1004,1000000,0,1,100000,3,1004,2500
