id_rider,name,level,hp,mastery point,upgrade_rate,upgrade_resource_type_1,upgrade_resource_id_1,amount_1,upgrade_resource_type_2,upgrade_resource_id_2,amount_2,upgrade_resource_type_3,upgrade_resource_id_3,amount_3
1001,Itsui,0,5,0,1,2,1001,0,0,1,0,3,1001,0
1001,Itsui,1,5,5,1,2,1001,10000,0,1,1000,3,1001,0
1001,Itsui,2,6,6,1,2,1001,20000,0,1,2000,3,1001,0
1001,Itsui,3,7,7,0.9,2,1001,30000,0,1,3000,3,1001,100
1001,Itsui,4,8,8,0.86,2,1001,50000,0,1,5000,3,1001,0
1001,Itsui,5,9,9,0.82,2,1001,70000,0,1,10000,3,1001,0
1001,Itsui,6,10,10,0.76,2,1001,90000,0,1,15000,3,1001,500
1001,Itsui,7,11,11,0.7,2,1001,120000,0,1,22000,3,1001,0
1001,Itsui,8,12,12,0.6,2,1001,150000,0,1,30000,3,1001,0
1001,Itsui,9,13,13,0.5,2,1001,200000,0,1,40000,3,1001,1000
1001,Itsui,10,14,14,0.4,2,1001,300000,0,1,55000,3,1001,0
1001,Itsui,11,15,15,0.3,2,1001,500000,0,1,70000,3,1001,0
1001,Itsui,12,16,16,0.15,2,1001,1000000,0,1,100000,3,1001,2500
