duplicated,key,Origin,English (en),Font,Vietnamese (vi),Font,Rich text
FALSE,patch_note_infor,"- Optimize UI/UX
- Fixes some bugs","- Optimize UI/UX
- Fixes some bugs",Roboto-Regular SDF,"- Cải thiện giao diện và tối ưu trải nghiệm người dùng
- Sửa một số lỗi ",Roboto-Regular SDF,
FALSE,loading,Loading...,Loading...,Roboto-Italic SDF,Đang tải game...,Roboto-Italic SDF,
FALSE,button_start,START YOUR JOURNEY,START YOUR JOURNEY,RobotoSemi-Bold SDF,BẮT ĐẦU CHƠI,RobotoSemi-Bold SDF,
FALSE,title_choose_a_stage,Choose a stage,Choose a stage,RobotoSemi-Bold SDF,Chọn màn chơi,RobotoSemi-Bold SDF,
FALSE,warning_not_unlocked,Not unlocked,Not unlocked,Roboto-Regular SDF,Chưa mở,Roboto-Regular SDF,
FALSE,warning_coming_soon,Coming soon,Coming soon,Roboto-Regular SDF,Sắp ra mắt,Roboto-Regular SDF,
FALSE,title_stage,STAGE,STAGE,IBM Plex Mono SDF,MÀN,IBM Plex Mono SDF,
FALSE,guide_game_rule,Reach the girl to win!,Reach the girl to win!,RobotoSemi-Bold SDF,Giải cứu Tsumu-chan để thắng!,RobotoSemi-Bold SDF,
FALSE,title_rider_information,RIDER INFORMATION,RIDER INFORMATION,RobotoSemi-Bold SDF,THÔNG TIN RIDER,RobotoSemi-Bold SDF,
FALSE,button_skill,SKILL,SKILL,RobotoSemi-Bold SDF,KỸ NĂNG,RobotoSemi-Bold SDF,
FALSE,button_replay,REPLAY,REPLAY,RobotoSemi-Bold SDF,CHƠI LẠI,RobotoSemi-Bold SDF,
FALSE,title_setting,Setting,Setting,RobotoSemi-Bold SDF,Cài đặt,RobotoSemi-Bold SDF,
FALSE,setting_sound,Sound,Sound,Roboto-Regular SDF,Âm thanh,Roboto-Regular SDF,
FALSE,setting_sound_on,On,On,Roboto-Regular SDF,Mở,Roboto-Regular SDF,
FALSE,setting_sound_off,Off,Off,Roboto-Regular SDF,Tắt,Roboto-Regular SDF,
FALSE,setting_language,Language,Language,Roboto-Regular SDF,Ngôn ngữ,Roboto-Regular SDF,
FALSE,setting_language_1,English,English,Roboto-Regular SDF,Tiếng Anh,Roboto-Regular SDF,
FALSE,setting_language_2,Vietnamese,Vietnamese,Roboto-Regular SDF,Tiếng Việt,Roboto-Regular SDF,
FALSE,setting_privacy_policy,Privacy policy,Privacy policy,Roboto-Regular SDF,Chính sách bảo mật,Roboto-Regular SDF,
FALSE,button_view,VIEW,VIEW,RobotoSemi-Bold SDF,Xem,RobotoSemi-Bold SDF,
FALSE,setting_term_of_condition,Terms of condition,Terms of condition,Roboto-Regular SDF,Điều khoản và điều kiện,Roboto-Regular SDF,
FALSE,setting_credit,Credit,Credit,Roboto-Regular SDF,Đội ngũ phát triển,Roboto-Regular SDF,
FALSE,title_notification,Notification,Notification,RobotoSemi-Bold SDF,Thông báo,RobotoSemi-Bold SDF,
FALSE,popup_detail_quit,Are you sure to quit this stage?,Are you sure to quit this stage?,Roboto-Regular SDF,Bạn có chắc chắn muốn thoát màn chơi này?,Roboto-Regular SDF,
FALSE,popup_detail_language_change,Game will be reloaded to update new changes.,Game will be reloaded to update new changes.,Roboto-Regular SDF,Trò chơi sẽ được tải lại để cập nhật những thay đổi mới.,Roboto-Regular SDF,
